"Kod";"Nazwa";"ścieżki rowerowe (drogi dla rowerów) ogółem;2020;[km]";
2611000;"Powiat starachowicki";13,8;
2612000;"Powiat staszowski";11,7;
2613000;"Powiat włoszczowski";10,0;
2661000;"Powiat m.Kielce";63,9;
2801000;"Powiat bartoszycki";16,2;
2802000;"Powiat braniewski";9,2;
2803000;"Powiat działdowski";25,3;
2804000;"Powiat elbląski";34,0;
2805000;"Powiat ełcki";25,7;
2806000;"Powiat giżycki";13,4;
2807000;"Powiat iławski";66,9;
2808000;"Powiat kętrzyński";40,8;
2809000;"Powiat lidzbarski";25,3;
2810000;"Powiat mrągowski";15,3;
2811000;"Powiat nidzicki";26,9;
2812000;"Powiat nowomiejski";29,5;
2813000;"Powiat olecki";7,0;
2814000;"Powiat olsztyński";52,2;
2815000;"Powiat ostródzki";30,6;
2816000;"Powiat piski";24,2;
2817000;"Powiat szczycieński";32,8;
2818000;"Powiat gołdapski";24,1;
2819000;"Powiat węgorzewski";30,7;
2861000;"Powiat m.Elbląg";46,2;
2862000;"Powiat m.Olsztyn";101,1;
3001000;"Powiat chodzieski";43,6;
3002000;"Powiat czarnkowsko-trzcianecki";51,9;
3003000;"Powiat gnieźnieński";74,3;
3004000;"Powiat gostyński";52,6;
3005000;"Powiat grodziski";61,8;
3006000;"Powiat jarociński";40,2;
3007000;"Powiat kaliski";33,5;
3008000;"Powiat kępiński";46,1;
3009000;"Powiat kolski";28,7;
3010000;"Powiat koniński";77,6;
3011000;"Powiat kościański";103,2;
3012000;"Powiat krotoszyński";28,3;
3013000;"Powiat leszczyński";115,3;
3014000;"Powiat międzychodzki";7,8;
3015000;"Powiat nowotomyski";70,9;
3016000;"Powiat obornicki";42,4;
3017000;"Powiat ostrowski";106,1;
3018000;"Powiat ostrzeszowski";30,4;
3019000;"Powiat pilski";88,6;
3020000;"Powiat pleszewski";53,7;
3021000;"Powiat poznański";205,6;
3022000;"Powiat rawicki";26,2;
3023000;"Powiat słupecki";14,4;
3024000;"Powiat szamotulski";72,8;
3025000;"Powiat średzki";24,5;
3026000;"Powiat śremski";21,7;
3027000;"Powiat turecki";28,8;
3028000;"Powiat wągrowiecki";47,5;
3029000;"Powiat wolsztyński";74,0;
3030000;"Powiat wrzesiński";12,8;
3031000;"Powiat złotowski";39,0;
3061000;"Powiat m.Kalisz";55,0;
3062000;"Powiat m.Konin";48,5;
3063000;"Powiat m.Leszno";59,4;
3064000;"Powiat m.Poznań";276,0;
3201000;"Powiat białogardzki";25,8;
3202000;"Powiat choszczeński";22,7;
3203000;"Powiat drawski";5,5;
3204000;"Powiat goleniowski";46,7;
3205000;"Powiat gryficki";38,3;
3206000;"Powiat gryfiński";51,9;
3207000;"Powiat kamieński";49,0;
3208000;"Powiat kołobrzeski";68,8;
3209000;"Powiat koszaliński";67,7;
3210000;"Powiat myśliborski";30,3;
3211000;"Powiat policki";90,2;
3212000;"Powiat pyrzycki";12,9;
3213000;"Powiat sławieński";51,5;
3214000;"Powiat stargardzki";80,2;
3215000;"Powiat szczecinecki";38,9;
3216000;"Powiat świdwiński";36,9;
3217000;"Powiat wałecki";18,0;
3218000;"Powiat łobeski";1,6;
3261000;"Powiat m.Koszalin";88,1;
3262000;"Powiat m.Szczecin";148,6;
3263000;"Powiat m.Świnoujście";42,7;
