"Kod";"Nazwa";"ludność na 1 km2;2020;[osoba]";
3063000;"Powiat m.Leszno";1973;
3064000;"Powiat m.Poznań";2031;
3201000;"Powiat białogardzki";56;
3202000;"Powiat choszczeński";36;
3203000;"Powiat drawski";32;
3204000;"Powiat goleniowski";51;
3205000;"Powiat gryficki";59;
3206000;"Powiat gryfiński";43;
3207000;"Powiat kamieński";46;
3208000;"Powiat kołobrzeski";109;
3209000;"Powiat koszaliński";40;
3210000;"Powiat myśliborski";55;
3211000;"Powiat policki";123;
3212000;"Powiat pyrzycki";54;
3213000;"Powiat sławieński";53;
3214000;"Powiat stargardzki";79;
3215000;"Powiat szczecinecki";44;
3216000;"Powiat świdwiński";42;
3217000;"Powiat wałecki";37;
3218000;"Powiat łobeski";34;
3261000;"Powiat m.Koszalin";1080;
3262000;"Powiat m.Szczecin";1325;
3263000;"Powiat m.Świnoujście";203;
